"Lady Marmalade - From ""Moulin Rouge"" Soundtrack",Christina Aguilera,109.919,7B
Butter,BTS,109.997,4B
Hollaback Girl,Gwen Stefani,110.007,3A
The Monster,Eminem,110.049,12A
Grenade,Bruno Mars,110.444,7A
Give It To Me,Timbaland,110.621,4B
Say So (feat. Nicki Minaj),Doja Cat,111.004,10A
The Hills,The Weeknd,113.003,5A
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,113.03,8B
Big Girls Don't Cry (Personal),Fergie,113.082,9B
All For You,Janet Jackson,113.525,10B
Makes Me Wonder,Maroon 5,113.996,9B
Dynamite,BTS,114.044,11A
Promiscuous,Nelly Furtado,114.328,3A
Not Afraid,Eminem,114.635,5A
BREAK MY SOUL,Beyoncé,114.942,12A
Uptown Funk (feat. Bruno Mars),Mark Ronson,114.988,8B
Stronger (What Doesn't Kill You),Kelly Clarkson,116.044,8B
Say It Right,Nelly Furtado,116.948,3B
Señorita,Shawn Mendes,116.967,8A
The Box,Roddy Ricch,116.971,3A
SexyBack (feat. Timbaland),Justin Timberlake,117,6A
Flowers,Miley Cyrus,117.999,8B
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,118.091,8B
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,118.903,4B
Just Dance,Lady Gaga,118.992,12A
Poker Face,Lady Gaga,118.999,2B
Incomplete,Sisqo,119.311,12A
Music,Madonna,119.854,9B
Burn,Usher,119.928,3B
All of Me,John Legend,119.93,4B
We R Who We R,Kesha,119.95,4B
My Love (feat. T.I.),Justin Timberlake,119.952,10A
Wrecking Ball,Miley Cyrus,119.964,7B
Blurred Lines,Robin Thicke,119.993,9B
Like Crazy,Jimin,120.001,9B
Teenage Dream,Katy Perry,120.011,6B
Call Me Maybe,Carly Rae Jepsen,120.021,9B
This Is America,Childish Gambino,120.024,7B
TiK ToK,Kesha,120.028,7A
Circles,Post Malone,120.042,8B
Be With You,Enrique Iglesias,121.996,12A
Raise Your Glass,P!nk,122.019,9B
Break Your Heart,Taio Cruz,122.035,4B
Rain On Me (with Ariana Grande),Lady Gaga,123.056,11B
Born This Way,Lady Gaga,123.907,1B
U Got It Bad,Usher,124.037,3B
Firework,Katy Perry,124.071,4B
Like A G6,Far East Movement,124.913,5B
Disturbia,Rihanna,124.921,10A
Permission to Dance,BTS,124.925,11B
PILLOWTALK,ZAYN,124.944,1B
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,124.959,8B
Right Round,Flo Rida,124.977,9B
California Gurls,Katy Perry,125.014,8B
What Do You Mean?,Justin Bieber,125.02,4A
Bodak Yellow,Cardi B,125.022,10A
Temperature,Sean Paul,125.04,5A
Candy Shop,50 Cent,125.173,1B
Don't Matter,Akon,125.232,10B
Only Girl (In The World),Rihanna,125.906,10A
The Way You Move (feat. Sleepy Brown),Outkast,125.999,4A
So What,P!nk,126.019,10A
